Name,Specialty,Location,Rating,Reviews
Dr. David L Meryash,Clinical Genetics (M.D.),New Hyde Park,5.0,5
Dr. Morton D Borg,Pediatric Cardiology,New York,5.0,5
Dr. Khalida Itriyeva,Pediatrics,New Hyde Park,5.0,5
Dr. Jill A Jacobson,Neurology,New York,5.0,5
Dr. Giuseppina Benincasa-Feingold,Pediatrics,Suffern,5.0,5
Dr. Ferrell A Motlow,Pediatrics,Brooklyn,5.0,5
Dr. Rupesh R Mehta,Internal Medicine,Port Jefferson Station,5.0,5
Dr. Thomas E Penn,Vascular Surgery,Rochester,5.0,5
Dr. Kadi-Ann N Bryan,Urology,New York,5.0,5
Dr. Ida Katseva MD,Pediatrics,Forest Hills,5.0,4
Dr. Patricia Giardina MD,Pediatric Hematology and Oncology,New York,5.0,4
Dr. Iosif Kleynerman MD,Internal Medicine,Brooklyn,5.0,4
Dr. Jackson Shaji,Nephrology,Floral Park,5.0,4
Dr. Leslie Kerr MD,Rheumatology,New York,5.0,4
Dr. Jeffrey Low MD,Internal Medicine,New York,5.0,4
Dr. Karen S Ballard,Obstetrics & Gynecology,Hawthorne,5.0,4
Dr. Vincent Miller MD,Medical Oncology,New York,5.0,4
Dr. Antonia New MD,Psychiatry,Bronx,5.0,4
Dr. Lori Shah,Pulmonary Disease,New York,5.0,4
Dr. Marcelo Rubinsky MD,Anesthesiology,New York,5.0,4
Christopher J Hanlon,,Manhasset,5.0,4
Gary E Veith,,Bay Shore,5.0,4
Grace M Vasconez-Pereira,,New York,5.0,4
Ronald E Carr,,New York,5.0,4
Winfred S Tovar,,Bronx,5.0,4
Priyanka Gupta,Pediatrics,New York,5.0,24
Jacob E Groopman,,Brooklyn,5.0,4
Jeffrey S Ben-Zvi,,New York,5.0,4
Dr. Llewellyn A Foulke,Pathology,Albany,5.0,4
Dr. Shellie L Gumbs,Internal Medicine,New York,5.0,4
Samuel Spitalewitz,Nephrology,Brooklyn,5.0,4
Dr. Michael D Nazar,Geriatric Medicine,Rochester,5.0,4
Dr. Amy R Leonard,Pediatrics,Selden,5.0,4
Dr. Salvatore A Cilmi,Internal Medicine,New York,5.0,4
Jason A Koutcher,,New York,5.0,4
Dr. Suresh Sofat,Internal Medicine,Lockport,5.0,4
Dr. Brian Trappler,Neurology,Brooklyn,5.0,4
Dr. Peter R Mariuz,Internal Medicine,Rochester,5.0,4
Dr. Anthony J Tranguch,Neurology,New York,5.0,4
Dr. Marcelo F Venegas Pizarro,Internal Medicine,Brooklyn,5.0,4
Dr. David J Chen,Physical Medicine and Rehabilitation,Middletown,5.0,24
Dr. Paul E Menge,Family Medicine,Rensselaer,5.0,4
Dr. Maranatha E Lougheed,Obstetrics and Gynecology,Horseheads,5.0,4
Dr. Julia L Cameron-Vendrig,,Buffalo,5.0,4
Dr. Thomas T Little,Pediatrics,Fayetteville,5.0,4
Dr. Monisha M Vora,Ophthalmology,Manhasset,5.0,4
Dr. Chani S Traube,Pediatrics,New York,5.0,4
Dr. Rosanna C Polsinelli,Pediatrics,Mineola,5.0,4
Dr. Kathi F Teixeira,Orthopaedic Surgery,Auburn,5.0,4
Dr. Frank K Tung,Cardiovascular Disease,New York,5.0,4
Dr. Gary R Burke,Internal Medicine,New York,5.0,4
Dr. Michael A Redlener,Emergency Medical Services,New Hyde Park,5.0,4
Dr. Eric M Socha,Pediatrics,Penfield,5.0,4
Dr. Mark J Corapi,Internal Medicine,Mineola,5.0,4
Dr. Jill K Rossinow,Radiation Oncology,Cooperstown,5.0,4
Dr. Lembitu Sorra,Internal Medicine,New York,5.0,4
Dr. William J Montesano Jr,Family Medicine,Rochester,5.0,4
Dr. Dawn M Heil,Plastic Surgery,Elmira,5.0,4
Dr. Sowmya Kanikkannan,Internal Medicine,Albany,5.0,4
Dr. Anthony Boutin,Emergency Medicine,East Meadow,5.0,4
Dr. Belle Goldstein,Dermatology,New York,5.0,4
Dr. Sandy Saintonge,Pediatrics,Jackson Heights,5.0,4
Dr. Claire P Stutzman,Pediatrics,Rochester,5.0,4
Dr. Nancy H Coles,Ophthalmology,Purchase,5.0,4
Dr. Osahon Ukponmwan,Internal Medicine,Yonkers,5.0,4
Dr. Anuthep Benja-Athon,Pain Medicine,New York,5.0,4
Dr. Philip J Wagner,Pain Medicine,New York,5.0,4
Dr. Steven E Feldon,Ophthalmology,Rochester,5.0,4
Dr. Derek D Reformat,Plastic Surgery,New York,5.0,4
Dr. Albert Yeo,Family Medicine,New York,5.0,4
Dr. David B Lawrence,Otolaryngology,Purchase,5.0,4
Dr. Dennis A Goodman,Internal Medicine,New York,5.0,4
Dr. Robert A Meyers,Pulmonary Disease,New York,5.0,4
Dr. George J Shervanick II,Emergency Medicine,Hudson,5.0,4
Dr. Anil A Thomas,Psychiatry,New York,5.0,4
Dr. Hallie Y Zwibel,Family Medicine,Old Westbury,5.0,4
Alfred T Vitanza,,Poughkeepsie,5.0,4
Dr. Manjil I Chatterji,Radiology,New York,5.0,4
Dr. Kara F Sheinart,Psychiatry,New York,5.0,4
Dr. Jill B Gressin,Emergency Medicine,Yonkers,5.0,4
Dr. Joshua P Bozek,Emergency Medicine,Patchogue,5.0,4
Dr. David A Bushinsky,Nephrology,Rochester,5.0,4
Dr. Henry Hom,Internal Medicine,New York,5.0,4
Dr. David B Cohen,Emergency Medicine,Stony Brook,5.0,34
Dr. Rudolph J Mueller,Internal Medicine,Jamestown,5.0,4
Dr. James K Gerstley,Radiation Oncology,Nyack,5.0,4
Dr. Lan Mo,Hematology,New York,5.0,4
Dr. Marie N Peloso Azzu,Pediatrics,Rockville Centre,5.0,4
Dr. Paul F Kent,Clinical Neurophysiology,New York,5.0,4
Dr. William H Frishman,Cardiovascular Disease,Hawthorne,5.0,4
Dr. Ulrike W Kaunzner,Neurology,New York,5.0,4
Dr. Pedro R Moreno,Internal Medicine,New York,5.0,4
Dr. Jacob T Go,Pediatrics,Flushing,5.0,4
Dr. Michael H Shih,Vascular Surgery,Brooklyn,5.0,24
Dr. Alex Reyentovich,Cardiovascular Disease,New York,5.0,4
Dr. Peter B Luke,Psychiatry,Manorville,5.0,4
Dr. Edward Iskhakov,Internal Medicine,Albany,5.0,4
Murray A Meltzer,,New York,5.0,4
Dr. Veeraf M Sanjana,Internal Medicine,New York,5.0,4
Dr. Hector B Santana,Psychiatry,Fayetteville,5.0,4
Dr. Anna C Kanaley,Internal Medicine,Orchard Park,5.0,4
Dr. Christos I Stavropoulos,Surgery,New York,5.0,4
Dr. Jackson Shaji,Internal Medicine,Floral Park,5.0,4
Dr. Paul G Ottaviano,Internal Medicine,New York,5.0,4
Dr. Mary L Brasch,Pediatrics,Clifton Park,5.0,4
Dr. Craig W Hertz,Internal Medicine,New Hyde Park,5.0,4
Dr. Evan S Mahl,Emergency Medicine,Brooklyn,5.0,4
Dr. Mark A Thomas,Physical Medicine and Rehabilitation,Bronx,5.0,34
Dr. Garrett M Deckel,Psychiatry,New York,5.0,4
Dr. Michael J Tulloch,Internal Medicine,Potsdam,5.0,4
Dr. Burton A Cohen,Radiology,New York,5.0,4
Dr. Andrew Mutnick,Pediatrics,Hawthorne,5.0,4
Dr. Richard H Smith,Internal Medicine,Rego Park,5.0,34
Dr. Michael T Ingoglia,Anesthesiology,Melville,5.0,4
Dr. Paul X Li,Family Medicine,Flushing,5.0,4
Dr. Adrienne A Salomon,Psychiatry,Middletown,5.0,4
Dr. Baby S Talapaneni,Obstetrics and Gynecology,Rockville Centre,5.0,4
Dr. Andrew S Dalsimer,Neurology,New York,5.0,4
Dr. David R Bickers,Dermatology,New York,5.0,4
Dr. Michele L Gorlitsky,Pediatrics,Garnerville,5.0,4
Dr. Maria A Sullivan,Addiction Psychiatry,New York,5.0,4
Dr. Ahmed Y Khan,Internal Medicine,Schenectady,5.0,4
Dr. Megan I Greenleaf,Internal Medicine,Rochester,5.0,4
Dr. Ronald H Wharton,Internal Medicine,Bronx,5.0,4
Dr. Srilaxmi M Bearelly,Ophthalmology,New York,5.0,4
Dr. Bryce J Yerman,Emergency Medicine,Rochester,5.0,4
Dr. Sandra C Brunson,Pediatric Cardiology,New Hyde Park,5.0,4
Dr. Javier Baquero,Colon and Rectal Surgery,Manhasset,5.0,4
Dr. Joseph M Delehanty,Cardiovascular Disease,Rochester,5.0,4
Dr. Tara E Zahtila,Family Medicine,Plainview,5.0,4
Dr. Vikram V Duvvi,Geriatric Psychiatry,Bronx,5.0,4
Dr. Vijay H Aswani,Pediatrics,Buffalo,5.0,4
Dr. Vasyl L Kasiyan,Internal Medicine,Rochester,5.0,4
Dr. Jang I Moon,Surgery,New York,5.0,4
Dr. Frank M Dovidio,Vascular Surgery,New York,5.0,4
Dr. Dominick S Zito,Internal Medicine,Jamaica,5.0,4
Dr. John W Kwiatek,Pulmonary Disease,Glen Head,5.0,4
Dr. Caroline Defilippo,Internal Medicine,West Harrison,5.0,4
Dr. Syed K Razi,Neurology,Syracuse,5.0,4
Dr. Benjamin N Angarita,Psychiatry,New York,5.0,4
Karen S Ballard,,Hawthorne,5.0,4
Jose R Sotolongo,,Accord,5.0,4
Dr. John K Maesaka,Internal Medicine,Mineola,5.0,4
Dr. Christopher A Phang,Pediatrics,New York,5.0,4
Dr. Athena Kritharis,Internal Medicine,Manhasset,5.0,4
Dr. William J Mesibov,Pediatrics,Syosset,5.0,4
Dr. Jeffrey F Zwerling,Ophthalmology,Rockaway Park,5.0,4
Dr. Stephen L Goldwasser,Internal Medicine,Brooklyn,5.0,4
Dr. Carmen J Ellie Jr,Emergency Medicine,Rochester,5.0,4
Patricia J Giardina,Pediatric Hematology-Oncology,New York,5.0,4
Dr. Shelley D Samuel,Internal Medicine,Port Jervis,5.0,4
Dr. Grigoriy Grenader,Family Medicine,Plainview,5.0,4
Dr. Marc Z Tessler,Adolescent Medicine,Brooklyn,5.0,4
Dr. Fahd Ali,Surgery,Mineola,5.0,4
Dr. Apolinario B Mateo Jr,Internal Medicine,Bronx,5.0,4
Dr. Sarah C Nosal,Family Medicine,New York,5.0,4
Dr. Subhadra Bandhakavi,Internal Medicine,Bronx,5.0,4
Dr. Jesse M Hackell,Pediatrics,Pomona,5.0,4
Dr. Olabisi O Asimolowo,Anesthesiology,Brooklyn,5.0,4
Dr. Brian C Mchugh,Anesthesiology,Staten Island,5.0,24
Dr. Rochelle H Brief,Physical Medicine & Rehabilitation,Nanuet,5.0,3
Dr. Simmy S Bank,Gastroenterology,New Hyde Park,5.0,3
"Dr. Santoshi Nath MD, BS, FAAP, MBBS",Pediatrics,New Windsor,5.0,3
Dr. Benedict Reynolds MD,General Surgery,Bronx,5.0,3
Dr. Kevin Reilly MD,Obstetrics and Gynecology,Bronx,5.0,3
Dr. John Esper MD,Family Medicine,Gloversville,5.0,3
